invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax,total,date,time,payment
INV-IND-00001,BLR,Ahmedabad,Member,Male,Groceries,29.39,6,8.82,185.16,19-02-2023,20:07:00,UPI
INV-IND-00002,HYD,Hyderabad,Member,Female,Electronics,68.2,1,3.41,71.61,21-02-2023,18:09:00,UPI
INV-IND-00003,PUN,Ahmedabad,Member,Male,Home Appliances,81.03,7,28.36,595.57,02-02-2023,20:27:00,Cash
INV-IND-00004,PUN,Pune,Member,Female,Health & Wellness,67.95,3,10.19,214.04,01-01-2023,12:41:00,Cash
INV-IND-00005,DEL,Chennai,Normal,Female,Home Appliances,13.77,5,3.44,72.29,22-02-2023,19:00:00,Debit Card
INV-IND-00006,DEL,Mumbai,Member,Female,Health & Wellness,61.65,4,12.33,258.93,01-03-2023,21:35:00,Debit Card
INV-IND-00007,HYD,Ahmedabad,Normal,Female,Groceries,57.21,5,14.3,300.35,03-02-2023,17:37:00,Net Banking
INV-IND-00008,BLR,Chennai,Normal,Male,Health & Wellness,90.53,5,22.63,475.28,04-01-2023,20:25:00,Cash
INV-IND-00009,AHM,Bangalore,Member,Male,Electronics,43.4,6,13.02,273.42,17-01-2023,15:36:00,Cash
INV-IND-00010,HYD,Ahmedabad,Normal,Female,Health & Wellness,35.5,6,10.65,223.65,04-01-2023,09:26:00,Debit Card
INV-IND-00011,BLR,Hyderabad,Normal,Female,Clothing,76.24,8,30.5,640.42,12-02-2023,09:18:00,Debit Card
INV-IND-00012,AHM,Chennai,Normal,Male,Electronics,44.2,8,17.68,371.28,31-03-2023,11:24:00,Debit Card
INV-IND-00013,BLR,Kolkata,Normal,Female,Groceries,66.38,9,29.87,627.29,04-01-2023,21:10:00,UPI
INV-IND-00014,PUN,Chennai,Member,Male,Electronics,66.41,8,26.56,557.84,01-01-2023,13:36:00,Credit Card
INV-IND-00015,PUN,Kolkata,Normal,Female,Clothing,89.36,2,8.94,187.66,12-03-2023,12:13:00,Credit Card
INV-IND-00016,PUN,Kolkata,Member,Male,Groceries,61.88,1,3.09,64.97,19-02-2023,13:03:00,Cash
INV-IND-00017,KOL,Mumbai,Normal,Female,Home Appliances,52.7,2,5.27,110.67,14-03-2023,14:19:00,UPI
INV-IND-00018,PUN,Hyderabad,Normal,Female,Clothing,18.19,2,1.82,38.2,02-03-2023,10:09:00,Debit Card
INV-IND-00019,CHE,Delhi,Member,Male,Groceries,16,3,2.4,50.4,04-02-2023,17:55:00,Cash
INV-IND-00020,DEL,Hyderabad,Normal,Female,Books & Stationery,19.66,7,6.88,144.5,08-01-2023,12:35:00,UPI
INV-IND-00021,DEL,Pune,Normal,Female,Health & Wellness,21.33,2,2.13,44.79,24-01-2023,19:38:00,Net Banking
INV-IND-00022,BLR,Ahmedabad,Normal,Male,Electronics,65.6,1,3.28,68.88,24-03-2023,17:17:00,UPI
INV-IND-00023,DEL,Hyderabad,Member,Female,Groceries,75.39,6,22.62,474.96,05-02-2023,11:02:00,Cash
INV-IND-00024,MUM,Ahmedabad,Normal,Male,Electronics,55.35,9,24.91,523.06,19-02-2023,12:27:00,Credit Card
INV-IND-00025,AHM,Ahmedabad,Member,Male,Health & Wellness,83.76,3,12.56,263.84,12-02-2023,21:27:00,Debit Card
INV-IND-00026,BLR,Ahmedabad,Normal,Female,Groceries,99.17,6,29.75,624.77,27-01-2023,13:21:00,Net Banking
INV-IND-00027,DEL,Mumbai,Member,Female,Home Appliances,82.9,3,12.44,261.14,01-02-2023,16:31:00,UPI
INV-IND-00028,MUM,Delhi,Member,Female,Books & Stationery,71.01,1,3.55,74.56,19-03-2023,18:11:00,Cash
INV-IND-00029,AHM,Kolkata,Normal,Female,Books & Stationery,55.59,5,13.9,291.85,18-01-2023,09:17:00,Cash
INV-IND-00030,KOL,Hyderabad,Normal,Female,Clothing,47.64,4,9.53,200.09,28-01-2023,21:03:00,Debit Card
INV-IND-00031,DEL,Pune,Member,Female,Groceries,13.02,7,4.56,95.7,29-01-2023,13:38:00,Cash
INV-IND-00032,MUM,Hyderabad,Member,Female,Health & Wellness,42.94,6,12.88,270.52,16-01-2023,19:13:00,Cash
INV-IND-00033,HYD,Kolkata,Normal,Male,Groceries,91.46,7,32.01,672.23,16-02-2023,17:15:00,Debit Card
INV-IND-00034,CHE,Chennai,Member,Female,Electronics,81.76,5,20.44,429.24,28-02-2023,16:28:00,Net Banking
INV-IND-00035,HYD,Ahmedabad,Normal,Male,Sports,25.52,4,5.1,107.18,31-01-2023,11:57:00,Credit Card
INV-IND-00036,MUM,Chennai,Normal,Female,Groceries,49.33,7,17.27,362.58,04-01-2023,10:13:00,Credit Card
INV-IND-00037,BLR,Pune,Normal,Female,Books & Stationery,82.59,7,28.91,607.04,06-02-2023,11:11:00,UPI
INV-IND-00038,PUN,Chennai,Normal,Male,Books & Stationery,11.4,6,3.42,71.82,17-01-2023,13:55:00,Net Banking
INV-IND-00039,PUN,Chennai,Member,Female,Books & Stationery,41.8,8,16.72,351.12,08-02-2023,12:37:00,UPI
INV-IND-00040,PUN,Ahmedabad,Normal,Female,Home Appliances,85.92,4,17.18,360.86,17-02-2023,08:17:00,Credit Card
INV-IND-00041,AHM,Kolkata,Member,Male,Groceries,43.37,5,10.84,227.69,15-02-2023,16:43:00,Debit Card
INV-IND-00042,BLR,Kolkata,Normal,Female,Clothing,12.37,4,2.47,51.95,31-03-2023,10:59:00,Cash
INV-IND-00043,AHM,Kolkata,Member,Female,Groceries,56.54,1,2.83,59.37,17-02-2023,10:02:00,Credit Card
INV-IND-00044,DEL,Hyderabad,Normal,Female,Sports,86.87,8,34.75,729.71,08-02-2023,12:05:00,Net Banking
INV-IND-00045,PUN,Delhi,Member,Male,Books & Stationery,61.08,1,3.05,64.13,04-01-2023,20:13:00,Credit Card
INV-IND-00046,HYD,Hyderabad,Member,Female,Electronics,26.5,5,6.62,139.12,30-01-2023,14:12:00,Net Banking
INV-IND-00047,BLR,Chennai,Normal,Female,Books & Stationery,41.5,6,12.45,261.45,30-01-2023,08:50:00,Net Banking
INV-IND-00048,BLR,Delhi,Normal,Female,Groceries,47.76,6,14.33,300.89,22-01-2023,09:10:00,Net Banking
INV-IND-00049,PUN,Bangalore,Normal,Female,Home Appliances,60.03,5,15.01,315.16,16-03-2023,15:59:00,UPI
INV-IND-00050,HYD,Hyderabad,Normal,Male,Health & Wellness,77.14,3,11.57,242.99,07-03-2023,17:19:00,Debit Card
INV-IND-00051,KOL,Hyderabad,Member,Male,Groceries,14.39,5,3.6,75.55,12-01-2023,08:18:00,Credit Card
INV-IND-00052,BLR,Ahmedabad,Normal,Female,Groceries,89.52,8,35.81,751.97,05-02-2023,20:53:00,Debit Card
INV-IND-00053,PUN,Kolkata,Member,Female,Clothing,6.17,2,0.62,12.96,18-01-2023,09:23:00,Cash
INV-IND-00054,CHE,Kolkata,Member,Male,Home Appliances,40.15,6,12.04,252.94,31-03-2023,10:34:00,Credit Card
INV-IND-00055,MUM,Delhi,Normal,Male,Sports,7.6,9,3.42,71.82,22-02-2023,17:24:00,Debit Card
INV-IND-00056,AHM,Hyderabad,Member,Female,Health & Wellness,42.33,8,16.93,355.57,12-03-2023,18:18:00,Debit Card
INV-IND-00057,DEL,Kolkata,Member,Male,Books & Stationery,54.95,8,21.98,461.58,01-01-2023,13:56:00,Cash
INV-IND-00058,BLR,Hyderabad,Member,Female,Electronics,53.61,8,21.44,450.32,27-02-2023,21:35:00,Net Banking
INV-IND-00059,CHE,Chennai,Member,Male,Groceries,20.73,7,7.26,152.37,31-03-2023,18:46:00,Credit Card
INV-IND-00060,CHE,Bangalore,Normal,Male,Sports,66.35,8,26.54,557.34,28-03-2023,15:22:00,Credit Card
INV-IND-00061,BLR,Kolkata,Normal,Male,Health & Wellness,9.25,6,2.78,58.28,31-03-2023,09:08:00,Cash
INV-IND-00062,KOL,Mumbai,Normal,Male,Electronics,77.38,2,7.74,162.5,06-01-2023,16:42:00,Net Banking
INV-IND-00063,MUM,Bangalore,Normal,Female,Sports,94.93,2,9.49,199.35,11-03-2023,10:22:00,Credit Card
INV-IND-00064,DEL,Kolkata,Member,Male,Home Appliances,37.28,8,14.91,313.15,13-02-2023,11:11:00,Credit Card
INV-IND-00065,BLR,Mumbai,Member,Male,Home Appliances,54.14,1,2.71,56.85,13-03-2023,14:26:00,Credit Card
INV-IND-00066,AHM,Mumbai,Normal,Female,Health & Wellness,41,6,12.3,258.3,24-01-2023,14:17:00,Net Banking
INV-IND-00067,DEL,Kolkata,Normal,Male,Books & Stationery,5.64,6,1.69,35.53,27-03-2023,17:40:00,Cash
INV-IND-00068,HYD,Bangalore,Normal,Male,Electronics,41.66,4,8.33,174.97,19-01-2023,16:54:00,Credit Card
INV-IND-00069,CHE,Ahmedabad,Member,Female,Home Appliances,80.21,3,12.03,252.66,18-01-2023,19:32:00,Debit Card
INV-IND-00070,CHE,Delhi,Normal,Male,Health & Wellness,61.62,3,9.24,194.1,30-01-2023,12:52:00,Net Banking
INV-IND-00071,BLR,Mumbai,Normal,Female,Home Appliances,14.62,1,0.73,15.35,11-02-2023,08:08:00,UPI
INV-IND-00072,BLR,Kolkata,Normal,Female,Home Appliances,85.48,3,12.82,269.26,02-02-2023,12:30:00,Cash
INV-IND-00073,AHM,Ahmedabad,Member,Female,Sports,55.45,4,11.09,232.89,15-03-2023,14:26:00,Debit Card
INV-IND-00074,HYD,Ahmedabad,Member,Female,Sports,84.96,5,21.24,446.04,12-01-2023,09:32:00,Credit Card
INV-IND-00075,KOL,Ahmedabad,Member,Male,Home Appliances,60.12,3,9.02,189.38,27-01-2023,16:48:00,UPI
INV-IND-00076,BLR,Chennai,Member,Female,Clothing,58.17,6,17.45,366.47,08-02-2023,10:33:00,Cash
INV-IND-00077,CHE,Bangalore,Member,Male,Sports,15,5,3.75,78.75,09-01-2023,14:44:00,Net Banking
INV-IND-00078,DEL,Mumbai,Member,Male,Electronics,20.9,3,3.14,65.84,21-01-2023,21:59:00,UPI
INV-IND-00079,MUM,Kolkata,Member,Male,Health & Wellness,97.34,6,29.2,613.24,17-03-2023,10:28:00,UPI
INV-IND-00080,PUN,Ahmedabad,Member,Male,Health & Wellness,26.71,6,8.01,168.27,29-01-2023,12:26:00,Debit Card
INV-IND-00081,DEL,Delhi,Normal,Male,Books & Stationery,97.86,8,39.14,822.02,02-02-2023,15:01:00,Cash
INV-IND-00082,KOL,Delhi,Normal,Male,Electronics,55.53,2,5.55,116.61,03-03-2023,21:59:00,Debit Card
INV-IND-00083,MUM,Pune,Member,Male,Electronics,17.9,1,0.9,18.8,15-01-2023,18:17:00,Debit Card
INV-IND-00084,DEL,Ahmedabad,Member,Male,Electronics,14.43,4,2.89,60.61,02-01-2023,15:51:00,Credit Card
INV-IND-00085,DEL,Delhi,Normal,Male,Books & Stationery,24.84,7,8.69,182.57,21-02-2023,17:06:00,Net Banking
INV-IND-00086,HYD,Mumbai,Member,Male,Electronics,92.94,3,13.94,292.76,13-02-2023,18:30:00,UPI
INV-IND-00087,PUN,Bangalore,Member,Female,Groceries,44.34,3,6.65,139.67,23-02-2023,16:45:00,Cash
INV-IND-00088,AHM,Bangalore,Member,Female,Books & Stationery,42.57,5,10.64,223.49,18-01-2023,16:22:00,Net Banking
INV-IND-00089,KOL,Kolkata,Normal,Female,Health & Wellness,34.75,5,8.69,182.44,03-01-2023,08:13:00,Net Banking
